Host_ReportedName,IUCNsp_recognized,IUCN_name,host_type,host_stage,taxon_level,database_genus,order_name,family_name,genus_name,category,synonymization_source,host_stage_source
Alopex lagopus,YES,Vulpes lagopus,WILD,definitive,species,Vulpes,CARNIVORA,CANIDAE,Vulpes,LC,,
Apodemus argenteus,YES,Apodemus argenteus,WILD,intermediate,species,Apodemus,RODENTIA,MURIDAE,Apodemus,LC,,
Apodemus speciosus,YES,Apodemus speciosus,WILD,intermediate,species,Apodemus,RODENTIA,MURIDAE,Apodemus,LC,,
Apodemus sylvaticus,YES,Apodemus sylvaticus,WILD,intermediate,species,Apodemus,RODENTIA,MURIDAE,Apodemus,LC,,
Apodemus uralensis,YES,Apodemus uralensis,WILD,intermediate,species,Apodemus,RODENTIA,MURIDAE,Apodemus,LC,,
Apodemus witherbyi,YES,Apodemus witherbyi,WILD,intermediate,species,Apodemus,RODENTIA,MURIDAE,Apodemus,LC,,
Arvicola amphibius,YES,Arvicola amphibius,WILD,intermediate,species,Arvicola,RODENTIA,CRICETIDAE,Arvicola,LC,,
Arvicola terrestris,YES,Arvicola amphibius,WILD,intermediate,species,Arvicola,RODENTIA,CRICETIDAE,Arvicola,LC,,
Ateles geoffroyi,YES,Ateles geoffroyi,WILD,deadend,species,Ateles,PRIMATES,ATELIDAE,Ateles,EN,,
Beef cow,NO,Bos taurus,DOMESTIC,aberrant,species,Bos,ARTIODACTYLA,BOVIDAE,NA,NA,,
bob cat,YES,Lynx rufus,WILD,not_detected,species,Lynx,CARNIVORA,FELIDAE,Lynx,LC,,
Bos taurus,NO,Bos taurus,DOMESTIC,deadend,species,Bos,ARTIODACTYLA,BOVIDAE,NA,NA,,
brown lemming,YES,Lemmus sibiricus,WILD,intermediate,species,Lemmus,RODENTIA,CRICETIDAE,Lemmus,LC,,
Callimico goeldii,YES,Callimico goeldii,WILD,deadend,species,Callimico,PRIMATES,CALLITRICHIDAE,Callimico,VU,,
Callosciurus prevostii,YES,Callosciurus prevostii,WILD,intermediate,species,Callosciurus,RODENTIA,SCIURIDAE,Callosciurus,LC,,
Canidae,YES,CANIDAE,WILD,definitive,family,none,CARNIVORA,CANIDAE,NA,NA,,
canine,YES,CANIDAE,WILD,definitive,family,none,CARNIVORA,CANIDAE,NA,NA,,
Canis,YES,Canis,WILD,definitive,genus,Canis,CARNIVORA,CANIDAE,Canis,NA,,
Canis aureus,YES,Canis aureus,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
Canis familiaris,NO,Canis familiaris,DOMESTIC,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,NA,,
Canis latrans,YES,Canis latrans,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
Canis lupus,YES,Canis lupus,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
Canis lupus familiaris,NO,Canis familiaris,DOMESTIC,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,NA,,
Canis lupus lupus,YES,Canis lupus,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
Canis lupus pallipes,YES,Canis lupus,WILD,definitive,species,Canis,CARNIVORA,CANIDAE,Canis,LC,,
Castor fiber,YES,Castor fiber,WILD,aberrant,species,Castor,RODENTIA,CASTORIDAE,Castor,LC,,Janovsky et al. 2002
cat,NO,Felis catus,DOMESTIC,definitive,species,Felis,CARNIVORA,FELIDAE,Felis,NA,,
Cercopithecidae,YES,CERCOPITHECIDAE,WILD,aberrant,family,none,PRIMATES,CERCOPITHECIDAE,NA,NA,,
Cercopithecus diana,YES,Cercopithecus diana,WILD,aberrant,species,Cercopithecus,PRIMATES,CERCOPITHECIDAE,Cercopithecus,VU,,
Chinchilla chinchilla,YES,Chinchilla chinchilla,WILD,intermediate,species,Chinchilla,RODENTIA,CHINCHILLIDAE,Chinchilla,EN,,
Chinchilla lanigera,YES,Chinchilla lanigera,WILD,intermediate,species,Chinchilla,RODENTIA,CHINCHILLIDAE,Chinchilla,EN,,
Citellus,YES,Urocitellus,WILD,intermediate,genus,Urocitellus,RODENTIA,SCIURIDAE,Urocitellus,NA,,
